choice,delay,reaction
3,1658,347
2,1272,516
1,878,284
3,1709,346
1,165,337
1,1042,308
1,503,306
2,1729,470
2,612,575
1,1169,305
1,1157,315
2,933,571
1,278,312
3,1335,368
2,1826,552
3,1267,357
3,1633,297
2,1149,713
1,821,358
2,672,33
2,1336,45
3,1745,373
3,91,508
1,357,497
3,1153,536
2,1944,697
2,1490,665
1,196,352
1,903,394
2,666,475
1,24,306
3,853,580
1,1408,367
1,933,302
2,981,2922
2,13,704
1,1814,524
3,536,425
3,1669,467
1,94,332
1,501,0
3,195,368
1,404,397
1,298,434
1,1123,317
3,882,309
1,1566,329
2,337,1500
3,1144,437
1,897,424
3,1828,502
3,1358,351
2,397,713
1,1904,362
3,231,463
3,175,495
1,298,420
2,399,474
3,412,376
1,1557,742
1,8,330
2,1968,439
3,530,273
2,962,667
2,1365,1197
2,1852,688
2,1821,826
1,712,305
1,1901,367
3,831,341
3,1057,348
2,1790,616
3,679,269
3,1006,318
3,98,361
1,1319,429
1,1223,399
2,760,585
2,126,513
1,1506,1268
3,770,293
1,1094,317
1,1844,393
2,534,307
3,1394,400
2,738,601
2,1590,576
3,1159,509
2,947,405
2,1217,899
3,1539,60
3,385,511
2,885,729
2,420,659
3,1968,342
2,1915,344
